review,symbol_puntuation_removal,case_folding,tokenized,normalized,stopwords_removed,stemmed,final_text
"ga banget,kamarnya banyak sawang bedebu,lamou kamar mandi mmati,kamar mandi ga bersih parah deh",ga banget kamarnya banyak sawang bedebu lamou kamar mandi mmati kamar mandi ga bersih parah deh,ga banget kamarnya banyak sawang bedebu lamou kamar mandi mmati kamar mandi ga bersih parah deh,"['ga', 'banget', 'kamarnya', 'banyak', 'sawang', 'bedebu', 'lamou', 'kamar', 'mandi', 'mmati', 'kamar', 'mandi', 'ga', 'bersih', 'parah', 'deh']","['tidak', 'banget', 'kamarnya', 'banyak', 'sawang', 'bedebu', 'lamou', 'kamar', 'mandi', 'mmati', 'kamar', 'mandi', 'tidak', 'bersih', 'parah', 'deh']","['banget', 'kamarnya', 'sawang', 'bedebu', 'lamou', 'kamar', 'mandi', 'mmati', 'kamar', 'mandi', 'bersih', 'parah', 'deh']","['banget', 'kamar', 'sawang', 'bedebu', 'lamou', 'kamar', 'mandi', 'mmati', 'kamar', 'mandi', 'bersih', 'parah', 'deh']",banget kamar sawang bedebu lamou kamar mandi mmati kamar mandi bersih parah deh
cukup oke pelayanannya......cuma handuknya kurang bersih. terima kasih,cukup oke pelayanannya cuma handuknya kurang bersih terima kasih,cukup oke pelayanannya cuma handuknya kurang bersih terima kasih,"['cukup', 'oke', 'pelayanannya', 'cuma', 'handuknya', 'kurang', 'bersih', 'terima', 'kasih']","['cukup', 'oke', 'pelayanannya', 'cuma', 'handuknya', 'kurang', 'bersih', 'terima', 'kasih']","['oke', 'pelayanannya', 'handuknya', 'bersih', 'terima', 'kasih']","['oke', 'layan', 'handuk', 'bersih', 'terima', 'kasih']",oke layan handuk bersih terima kasih
"Cukup bersih, tetapi masih ada beberapa bagian yg belum.",Cukup bersih tetapi masih ada beberapa bagian yg belum,cukup bersih tetapi masih ada beberapa bagian yg belum,"['cukup', 'bersih', 'tetapi', 'masih', 'ada', 'beberapa', 'bagian', 'yg', 'belum']","['cukup', 'bersih', 'tetapi', 'masih', 'ada', 'beberapa', 'bagian', 'yg', 'belum']",['bersih'],['bersih'],bersih
"Kebersihan kamar lebih ditingkatkan ya, di sekitar kusen jendela kotor banget. Seperti tidak pernah ",Kebersihan kamar lebih ditingkatkan ya di sekitar kusen jendela kotor banget Seperti tidak pernah,kebersihan kamar lebih ditingkatkan ya di sekitar kusen jendela kotor banget seperti tidak pernah,"['kebersihan', 'kamar', 'lebih', 'ditingkatkan', 'ya', 'di', 'sekitar', 'kusen', 'jendela', 'kotor', 'banget', 'seperti', 'tidak', 'pernah']","['kebersihan', 'kamar', 'lebih', 'ditingkatkan', 'ya', 'di', 'sekitar', 'kusen', 'jendela', 'kotor', 'banget', 'seperti', 'tidak', 'pernah']","['kebersihan', 'kamar', 'ditingkatkan', 'ya', 'kusen', 'jendela', 'kotor', 'banget']","['bersih', 'kamar', 'tingkat', 'ya', 'kusen', 'jendela', 'kotor', 'banget']",bersih kamar tingkat ya kusen jendela kotor banget
"Pintu toilet rusak, kaca jendela rusak, TV tidak layak, handuk kecil dan usang. seprei usang. air WC",Pintu toilet rusak kaca jendela rusak TV tidak layak handuk kecil dan usang seprei usang air WC,pintu toilet rusak kaca jendela rusak tv tidak layak handuk kecil dan usang seprei usang air wc,"['pintu', 'toilet', 'rusak', 'kaca', 'jendela', 'rusak', 'tv', 'tidak', 'layak', 'handuk', 'kecil', 'dan', 'usang', 'seprei', 'usang', 'air', 'wc']","['pintu', 'toilet', 'rusak', 'kaca', 'jendela', 'rusak', 'tv', 'tidak', 'layak', 'handuk', 'kecil', 'dan', 'usang', 'seprei', 'usang', 'air', 'wc']","['pintu', 'toilet', 'rusak', 'kaca', 'jendela', 'rusak', 'tv', 'layak', 'handuk', 'usang', 'seprei', 'usang', 'air', 'wc']","['pintu', 'toilet', 'rusak', 'kaca', 'jendela', 'rusak', 'tv', 'layak', 'handuk', 'usang', 'seprei', 'usang', 'air', 'wc']",pintu toilet rusak kaca jendela rusak tv layak handuk usang seprei usang air wc
"hotelnya bersih dan nyaman, tp keyika masuk kamar sangat bau bekas asap rokok",hotelnya bersih dan nyaman tp keyika masuk kamar sangat bau bekas asap rokok,hotelnya bersih dan nyaman tp keyika masuk kamar sangat bau bekas asap rokok,"['hotelnya', 'bersih', 'dan', 'nyaman', 'tp', 'keyika', 'masuk', 'kamar', 'sangat', 'bau', 'bekas', 'asap', 'rokok']","['hotelnya', 'bersih', 'dan', 'nyaman', 'tapi', 'keyika', 'masuk', 'kamar', 'sangat', 'bau', 'bekas', 'asap', 'rokok']","['hotelnya', 'bersih', 'nyaman', 'keyika', 'masuk', 'kamar', 'bau', 'bekas', 'asap', 'rokok']","['hotel', 'bersih', 'nyaman', 'keyika', 'masuk', 'kamar', 'bau', 'bekas', 'asap', 'rokok']",hotel bersih nyaman keyika masuk kamar bau bekas asap rokok
"ruangan kurang bersih, ada puntung rokok di dalam kamar, plastik shower di ksmar mandi mulai menghitam, conplimentary item expired ",ruangan kurang bersih ada puntung rokok di dalam kamar plastik shower di ksmar mandi mulai menghitam conplimentary item expired,ruangan kurang bersih ada puntung rokok di dalam kamar plastik shower di ksmar mandi mulai menghitam conplimentary item expired,"['ruangan', 'kurang', 'bersih', 'ada', 'puntung', 'rokok', 'di', 'dalam', 'kamar', 'plastik', 'shower', 'di', 'ksmar', 'mandi', 'mulai', 'menghitam', 'conplimentary', 'item', 'expired']","['ruangan', 'kurang', 'bersih', 'ada', 'puntung', 'rokok', 'di', 'dalam', 'kamar', 'plastik', 'shower', 'di', 'ksmar', 'mandi', 'mulai', 'menghitam', 'conplimentary', 'item', 'expired']","['ruangan', 'bersih', 'puntung', 'rokok', 'kamar', 'plastik', 'shower', 'ksmar', 'mandi', 'menghitam', 'conplimentary', 'item', 'expired']","['ruang', 'bersih', 'puntung', 'rokok', 'kamar', 'plastik', 'shower', 'ksmar', 'mandi', 'hitam', 'conplimentary', 'item', 'expired']",ruang bersih puntung rokok kamar plastik shower ksmar mandi hitam conplimentary item expired
Pelayanan kurang ramah,Pelayanan kurang ramah,pelayanan kurang ramah,"['pelayanan', 'kurang', 'ramah']","['pelayanan', 'kurang', 'ramah']","['pelayanan', 'ramah']","['layan', 'ramah']",layan ramah
tv nya bermasalah,tv nya bermasalah,tv nya bermasalah,"['tv', 'nya', 'bermasalah']","['tv', 'nya', 'bermasalah']","['tv', 'nya', 'bermasalah']","['tv', 'nya', 'masalah']",tv nya masalah
"Tempatnya si strategis, bnyak yg jual makanan di sekitarnya. Tapi Kamarnya sempit, kamar mandi bau, kran air berkarat semua, air tidak lancar, ada hewan2 di kamar mandi (kecoak, kelabang (meskipun sudah mati)). Jadi kecewa, tidak memuaskan",Tempatnya si strategis bnyak yg jual makanan di sekitarnya Tapi Kamarnya sempit kamar mandi bau kran air berkarat semua air tidak lancar ada hewan di kamar mandi kecoak kelabang meskipun sudah mati Jadi kecewa tidak memuaskan,tempatnya si strategis bnyak yg jual makanan di sekitarnya tapi kamarnya sempit kamar mandi bau kran air berkarat semua air tidak lancar ada hewan di kamar mandi kecoak kelabang meskipun sudah mati jadi kecewa tidak memuaskan,"['tempatnya', 'si', 'strategis', 'bnyak', 'yg', 'jual', 'makanan', 'di', 'sekitarnya', 'tapi', 'kamarnya', 'sempit', 'kamar', 'mandi', 'bau', 'kran', 'air', 'berkarat', 'semua', 'air', 'tidak', 'lancar', 'ada', 'hewan', 'di', 'kamar', 'mandi', 'kecoak', 'kelabang', 'meskipun', 'sudah', 'mati', 'jadi', 'kecewa', 'tidak', 'memuaskan']","['tempatnya', 'si', 'strategis', 'bnyak', 'yg', 'jual', 'makanan', 'di', 'sekitarnya', 'tapi', 'kamarnya', 'sempit', 'kamar', 'mandi', 'bau', 'kran', 'air', 'berkarat', 'semua', 'air', 'tidak', 'lancar', 'ada', 'hewan', 'di', 'kamar', 'mandi', 'kecoak', 'kelabang', 'meskipun', 'sudah', 'mati', 'jadi', 'kecewa', 'tidak', 'memuaskan']","['tempatnya', 'si', 'strategis', 'bnyak', 'jual', 'makanan', 'kamarnya', 'sempit', 'kamar', 'mandi', 'bau', 'kran', 'air', 'berkarat', 'air', 'lancar', 'hewan', 'kamar', 'mandi', 'kecoak', 'kelabang', 'mati', 'kecewa', 'memuaskan']","['tempat', 'si', 'strategis', 'bnyak', 'jual', 'makan', 'kamar', 'sempit', 'kamar', 'mandi', 'bau', 'kran', 'air', 'karat', 'air', 'lancar', 'hewan', 'kamar', 'mandi', 'kecoak', 'kelabang', 'mati', 'kecewa', 'muas']",tempat si strategis bnyak jual makan kamar sempit kamar mandi bau kran air karat air lancar hewan kamar mandi kecoak kelabang mati kecewa muas
"Jangan menginap disini deh.. Mending cari hotel lain.. Kelas deluxe tapi kayak ekonomi SEMPIT SEKALI, WC BAU, COLOKKAN LISTRIK TIDAK ADA. MAU CHARGER HP GAK BISA. NGHABISKAN DUIT AJA...SANGAT KECEWA",Jangan menginap disini deh Mending cari hotel lain Kelas deluxe tapi kayak ekonomi SEMPIT SEKALI WC BAU COLOKKAN LISTRIK TIDAK ADA MAU CHARGER HP GAK BISA NGHABISKAN DUIT AJA SANGAT KECEWA,jangan menginap disini deh mending cari hotel lain kelas deluxe tapi kayak ekonomi sempit sekali wc bau colokkan listrik tidak ada mau charger hp gak bisa nghabiskan duit aja sangat kecewa,"['jangan', 'menginap', 'disini', 'deh', 'mending', 'cari', 'hotel', 'lain', 'kelas', 'deluxe', 'tapi', 'kayak', 'ekonomi', 'sempit', 'sekali', 'wc', 'bau', 'colokkan', 'listrik', 'tidak', 'ada', 'mau', 'charger', 'hp', 'gak', 'bisa', 'nghabiskan', 'duit', 'aja', 'sangat', 'kecewa']","['jangan', 'menginap', 'disini', 'deh', 'mending', 'cari', 'hotel', 'lain', 'kelas', 'deluxe', 'tapi', 'kayak', 'ekonomi', 'sempit', 'sekali', 'wc', 'bau', 'colokkan', 'listrik', 'tidak', 'ada', 'mau', 'charger', 'hp', 'tidak', 'bisa', 'nghabiskan', 'duit', 'aja', 'sangat', 'kecewa']","['menginap', 'deh', 'mending', 'cari', 'hotel', 'kelas', 'deluxe', 'kayak', 'ekonomi', 'sempit', 'wc', 'bau', 'colokkan', 'listrik', 'charger', 'hp', 'nghabiskan', 'duit', 'kecewa']","['inap', 'deh', 'mending', 'cari', 'hotel', 'kelas', 'deluxe', 'kayak', 'ekonomi', 'sempit', 'wc', 'bau', 'colok', 'listrik', 'charger', 'hp', 'nghabiskan', 'duit', 'kecewa']",inap deh mending cari hotel kelas deluxe kayak ekonomi sempit wc bau colok listrik charger hp nghabiskan duit kecewa
"tambahi guling, water heater mati, tapi dikasih kue makasih",tambahi guling water heater mati tapi dikasih kue makasih,tambahi guling water heater mati tapi dikasih kue makasih,"['tambahi', 'guling', 'water', 'heater', 'mati', 'tapi', 'dikasih', 'kue', 'makasih']","['tambahi', 'guling', 'water', 'heater', 'mati', 'tapi', 'dikasih', 'kue', 'makasih']","['tambahi', 'guling', 'water', 'heater', 'mati', 'dikasih', 'kue', 'makasih']","['tambah', 'guling', 'water', 'heater', 'mati', 'kasih', 'kue', 'makasih']",tambah guling water heater mati kasih kue makasih
murah dan nyaman tp toilet agak sedikit kotor.,murah dan nyaman tp toilet agak sedikit kotor,murah dan nyaman tp toilet agak sedikit kotor,"['murah', 'dan', 'nyaman', 'tp', 'toilet', 'agak', 'sedikit', 'kotor']","['murah', 'dan', 'nyaman', 'tapi', 'toilet', 'agak', 'sedikit', 'kotor']","['murah', 'nyaman', 'toilet', 'kotor']","['murah', 'nyaman', 'toilet', 'kotor']",murah nyaman toilet kotor
AC nya Panas gak berfungsi. Offer all sih ya oke lah.,AC nya Panas gak berfungsi Offer all sih ya oke lah,ac nya panas gak berfungsi offer all sih ya oke lah,"['ac', 'nya', 'panas', 'gak', 'berfungsi', 'offer', 'all', 'sih', 'ya', 'oke', 'lah']","['ac', 'nya', 'panas', 'tidak', 'berfungsi', 'offer', 'all', 'sih', 'ya', 'oke', 'lah']","['ac', 'nya', 'panas', 'berfungsi', 'offer', 'all', 'sih', 'ya', 'oke']","['ac', 'nya', 'panas', 'fungsi', 'offer', 'all', 'sih', 'ya', 'oke']",ac nya panas fungsi offer all sih ya oke
tvnya mati2,tvnya mati,tvnya mati,"['tvnya', 'mati']","['tvnya', 'mati']","['tvnya', 'mati']","['tvnya', 'mati']",tvnya mati
Untuk nginap yg kemaren tempat tidur kurang bersih.. 🙏🏻,Untuk nginap yg kemaren tempat tidur kurang bersih,untuk nginap yg kemaren tempat tidur kurang bersih,"['untuk', 'nginap', 'yg', 'kemaren', 'tempat', 'tidur', 'kurang', 'bersih']","['untuk', 'nginap', 'yg', 'kemaren', 'tempat', 'tidur', 'kurang', 'bersih']","['nginap', 'kemaren', 'tidur', 'bersih']","['nginap', 'kemaren', 'tidur', 'bersih']",nginap kemaren tidur bersih
kamar mandi kurang bersih,kamar mandi kurang bersih,kamar mandi kurang bersih,"['kamar', 'mandi', 'kurang', 'bersih']","['kamar', 'mandi', 'kurang', 'bersih']","['kamar', 'mandi', 'bersih']","['kamar', 'mandi', 'bersih']",kamar mandi bersih
kamar kotor... tidak ada perlengkapan snack dan mandi dari airy,kamar kotor tidak ada perlengkapan snack dan mandi dari airy,kamar kotor tidak ada perlengkapan snack dan mandi dari airy,"['kamar', 'kotor', 'tidak', 'ada', 'perlengkapan', 'snack', 'dan', 'mandi', 'dari', 'airy']","['kamar', 'kotor', 'tidak', 'ada', 'perlengkapan', 'snack', 'dan', 'mandi', 'dari', 'airy']","['kamar', 'kotor', 'perlengkapan', 'snack', 'mandi', 'airy']","['kamar', 'kotor', 'lengkap', 'snack', 'mandi', 'airy']",kamar kotor lengkap snack mandi airy
wifi tidak sampai kamar,wifi tidak sampai kamar,wifi tidak sampai kamar,"['wifi', 'tidak', 'sampai', 'kamar']","['wifi', 'tidak', 'sampai', 'kamar']","['wifi', 'kamar']","['wifi', 'kamar']",wifi kamar
AC kurang dingin ,AC kurang dingin,ac kurang dingin,"['ac', 'kurang', 'dingin']","['ac', 'kurang', 'dingin']","['ac', 'dingin']","['ac', 'dingin']",ac dingin
"Pelayanan ramah, namun air panas shower perlu diperbaiki",Pelayanan ramah namun air panas shower perlu diperbaiki,pelayanan ramah namun air panas shower perlu diperbaiki,"['pelayanan', 'ramah', 'namun', 'air', 'panas', 'shower', 'perlu', 'diperbaiki']","['pelayanan', 'ramah', 'namun', 'air', 'panas', 'shower', 'perlu', 'diperbaiki']","['pelayanan', 'ramah', 'air', 'panas', 'shower', 'diperbaiki']","['layan', 'ramah', 'air', 'panas', 'shower', 'baik']",layan ramah air panas shower baik
Tidak ada sabun maupun snack dari airy room,Tidak ada sabun maupun snack dari airy room,tidak ada sabun maupun snack dari airy room,"['tidak', 'ada', 'sabun', 'maupun', 'snack', 'dari', 'airy', 'room']","['tidak', 'ada', 'sabun', 'maupun', 'snack', 'dari', 'airy', 'room']","['sabun', 'snack', 'airy', 'room']","['sabun', 'snack', 'airy', 'room']",sabun snack airy room
"lumayan, tp kamar mandinya kurang bersih & bau.",lumayan tp kamar mandinya kurang bersih bau,lumayan tp kamar mandinya kurang bersih bau,"['lumayan', 'tp', 'kamar', 'mandinya', 'kurang', 'bersih', 'bau']","['lumayan', 'tapi', 'kamar', 'mandinya', 'kurang', 'bersih', 'bau']","['lumayan', 'kamar', 'mandinya', 'bersih', 'bau']","['lumayan', 'kamar', 'mandi', 'bersih', 'bau']",lumayan kamar mandi bersih bau
"cukup baik. kekurangan tamu tidak di antar ke kamar. satpam sangat ramah, saluran tv jernih, sarapan pagi enak, selimut tebel. pokoknya rekomen bgt lah",cukup baik kekurangan tamu tidak di antar ke kamar satpam sangat ramah saluran tv jernih sarapan pagi enak selimut tebel pokoknya rekomen bgt lah,cukup baik kekurangan tamu tidak di antar ke kamar satpam sangat ramah saluran tv jernih sarapan pagi enak selimut tebel pokoknya rekomen bgt lah,"['cukup', 'baik', 'kekurangan', 'tamu', 'tidak', 'di', 'antar', 'ke', 'kamar', 'satpam', 'sangat', 'ramah', 'saluran', 'tv', 'jernih', 'sarapan', 'pagi', 'enak', 'selimut', 'tebel', 'pokoknya', 'rekomen', 'bgt', 'lah']","['cukup', 'baik', 'kekurangan', 'tamu', 'tidak', 'di', 'antar', 'ke', 'kamar', 'satpam', 'sangat', 'ramah', 'saluran', 'tv', 'jernih', 'sarapan', 'pagi', 'enak', 'selimut', 'tebel', 'pokoknya', 'rekomen', 'banget', 'lah']","['kekurangan', 'tamu', 'kamar', 'satpam', 'ramah', 'saluran', 'tv', 'jernih', 'sarapan', 'pagi', 'enak', 'selimut', 'tebel', 'pokoknya', 'rekomen', 'banget']","['kurang', 'tamu', 'kamar', 'satpam', 'ramah', 'salur', 'tv', 'jernih', 'sarap', 'pagi', 'enak', 'selimut', 'tebel', 'pokok', 'rekomen', 'banget']",kurang tamu kamar satpam ramah salur tv jernih sarap pagi enak selimut tebel pokok rekomen banget
"shower rusak, penempatan gantungan baju di kamar mandi sebaiknya jgn di samping wc, selimut byk bekas noda. selebihnya oke lah.",shower rusak penempatan gantungan baju di kamar mandi sebaiknya jgn di samping wc selimut byk bekas noda selebihnya oke lah,shower rusak penempatan gantungan baju di kamar mandi sebaiknya jgn di samping wc selimut byk bekas noda selebihnya oke lah,"['shower', 'rusak', 'penempatan', 'gantungan', 'baju', 'di', 'kamar', 'mandi', 'sebaiknya', 'jgn', 'di', 'samping', 'wc', 'selimut', 'byk', 'bekas', 'noda', 'selebihnya', 'oke', 'lah']","['shower', 'rusak', 'penempatan', 'gantungan', 'baju', 'di', 'kamar', 'mandi', 'sebaiknya', 'jgn', 'di', 'samping', 'wc', 'selimut', 'byk', 'bekas', 'noda', 'selebihnya', 'oke', 'lah']","['shower', 'rusak', 'penempatan', 'gantungan', 'baju', 'kamar', 'mandi', 'jgn', 'samping', 'wc', 'selimut', 'byk', 'bekas', 'noda', 'selebihnya', 'oke']","['shower', 'rusak', 'tempat', 'gantung', 'baju', 'kamar', 'mandi', 'jgn', 'samping', 'wc', 'selimut', 'byk', 'bekas', 'noda', 'lebih', 'oke']",shower rusak tempat gantung baju kamar mandi jgn samping wc selimut byk bekas noda lebih oke
